% degree N
7
% number of nodes
64
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-8.717401485096066E-01 -1.000000000000000E+00
-5.917001814331423E-01 -1.000000000000000E+00
-2.092992179024788E-01 -1.000000000000000E+00
2.092992179024791E-01 -1.000000000000000E+00
5.917001814331421E-01 -1.000000000000000E+00
8.717401485096066E-01 -1.000000000000000E+00
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -8.717401485096066E-01
-8.717401485096066E-01 -8.717401485096066E-01
-5.917001814331423E-01 -8.717401485096066E-01
-2.092992179024788E-01 -8.717401485096066E-01
2.092992179024791E-01 -8.717401485096066E-01
5.917001814331421E-01 -8.717401485096066E-01
8.717401485096066E-01 -8.717401485096066E-01
1.000000000000000E+00 -8.717401485096066E-01
-1.000000000000000E+00 -5.917001814331423E-01
-8.717401485096066E-01 -5.917001814331423E-01
-5.917001814331423E-01 -5.917001814331423E-01
-2.092992179024788E-01 -5.917001814331423E-01
2.092992179024791E-01 -5.917001814331423E-01
5.917001814331421E-01 -5.917001814331423E-01
8.717401485096066E-01 -5.917001814331423E-01
1.000000000000000E+00 -5.917001814331423E-01
-1.000000000000000E+00 -2.092992179024788E-01
-8.717401485096066E-01 -2.092992179024788E-01
-5.917001814331423E-01 -2.092992179024788E-01
-2.092992179024788E-01 -2.092992179024788E-01
2.092992179024791E-01 -2.092992179024788E-01
5.917001814331421E-01 -2.092992179024788E-01
8.717401485096066E-01 -2.092992179024788E-01
1.000000000000000E+00 -2.092992179024788E-01
-1.000000000000000E+00 2.092992179024791E-01
-8.717401485096066E-01 2.092992179024791E-01
-5.917001814331423E-01 2.092992179024791E-01
-2.092992179024788E-01 2.092992179024791E-01
2.092992179024791E-01 2.092992179024791E-01
5.917001814331421E-01 2.092992179024791E-01
8.717401485096066E-01 2.092992179024791E-01
1.000000000000000E+00 2.092992179024791E-01
-1.000000000000000E+00 5.917001814331421E-01
-8.717401485096066E-01 5.917001814331421E-01
-5.917001814331423E-01 5.917001814331421E-01
-2.092992179024788E-01 5.917001814331421E-01
2.092992179024791E-01 5.917001814331421E-01
5.917001814331421E-01 5.917001814331421E-01
8.717401485096066E-01 5.917001814331421E-01
1.000000000000000E+00 5.917001814331421E-01
-1.000000000000000E+00 8.717401485096066E-01
-8.717401485096066E-01 8.717401485096066E-01
-5.917001814331423E-01 8.717401485096066E-01
-2.092992179024788E-01 8.717401485096066E-01
2.092992179024791E-01 8.717401485096066E-01
5.917001814331421E-01 8.717401485096066E-01
8.717401485096066E-01 8.717401485096066E-01
1.000000000000000E+00 8.717401485096066E-01
-1.000000000000000E+00 1.000000000000000E+00
-8.717401485096066E-01 1.000000000000000E+00
-5.917001814331423E-01 1.000000000000000E+00
-2.092992179024788E-01 1.000000000000000E+00
2.092992179024791E-01 1.000000000000000E+00
5.917001814331421E-01 1.000000000000000E+00
8.717401485096066E-01 1.000000000000000E+00
1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-1.399999999999999E+01 1.893759860711737E+01 -7.569289819348491E+00 4.297908164265169E+00 -2.810188989257947E+00 1.941659425544127E+00 -1.297687388320234E+00 5.000000000000000E-01 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
-3.209915703002985E+00 0.000000000000000E+00 4.543585064566570E+00 -2.112061214314543E+00 1.294232050913501E+00 -8.694480983314934E-01 5.735654149402643E-01 -2.199575147713036E-01 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
7.924766813205135E-01 -2.806475794736433E+00 0.000000000000000E+00 2.875517405972506E+00 -1.372785831806031E+00 8.450225565065123E-01 -5.370395861576612E-01 2.032845689005922E-01 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
